PDB_NAME,QUERY_NO,EXECUTION_SECONDS
PDB_CONTROL,1,136.3593897819519
PDB_CONTROL,2,20.79340648651123
PDB_CONTROL,3,81.95319628715515
PDB_CONTROL,4,81.49992895126343
PDB_CONTROL,5,87.65626049041748
PDB_CONTROL,6,62.281259059906006
PDB_CONTROL,7,68.87500500679016
PDB_CONTROL,8,81.89069151878357
PDB_CONTROL,9,143.89060974121094
PDB_CONTROL,10,95.2500832080841
PDB_CONTROL,11,11.343701362609863
PDB_CONTROL,12,92.09371781349182
PDB_CONTROL,13,46.00000023841858
PDB_CONTROL,14,73.53124666213989
PDB_CONTROL,15,66.29689908027649
PDB_CONTROL,16,12.874981164932251
PDB_CONTROL,17,65.95315980911255
PDB_CONTROL,18,225.9374589920044
PDB_CONTROL,19,70.59373259544373
PDB_CONTROL,20,108.99077248573303
PDB_CONTROL,21,167.51570224761963
PDB_CONTROL,22,14.859321117401123
PDB_PERF_TUNE,1,137.43747425079346
PDB_PERF_TUNE,2,2.4843590259552
PDB_PERF_TUNE,3,81.71881937980652
PDB_PERF_TUNE,4,77.21874284744263
PDB_PERF_TUNE,5,86.62509036064148
PDB_PERF_TUNE,6,68.10946917533875
PDB_PERF_TUNE,7,80.26566100120544
PDB_PERF_TUNE,8,81.25009751319885
PDB_PERF_TUNE,9,125.20322060585022
PDB_PERF_TUNE,10,91.20323371887207
PDB_PERF_TUNE,11,8.500015020370483
PDB_PERF_TUNE,12,78.17198157310486
PDB_PERF_TUNE,13,46.46876287460327
PDB_PERF_TUNE,14,69.71882843971252
PDB_PERF_TUNE,15,63.29686164855957
PDB_PERF_TUNE,16,13.265625476837158
PDB_PERF_TUNE,17,66.26564502716064
PDB_PERF_TUNE,18,134.09365892410278
PDB_PERF_TUNE,19,66.87502574920654
PDB_PERF_TUNE,20,115.45399713516235
PDB_PERF_TUNE,21,165.51555156707764
PDB_PERF_TUNE,22,14.968740224838257
