PDB_NAME,QUERY_NO,START_TIME,END_TIME,EXECUTION_SECONDS,EXECUTION_DATE
PDB_PERF_TUNE,16,2025-06-11 23:06:57.457,2025-06-11 23:06:57.458,0.001,2025-06-11 23:06:57
PDB_PERF_TUNE,17,2025-06-11 23:06:58.597,2025-06-11 23:06:58.597,0.0,2025-06-11 23:06:58
PDB_PERF_TUNE,18,2025-06-11 23:06:59.731,2025-06-11 23:06:59.732,0.001,2025-06-11 23:06:59
PDB_PERF_TUNE,19,2025-06-11 23:07:00.888,2025-06-11 23:07:00.889,0.001,2025-06-11 23:07:00
PDB_PERF_TUNE,20,2025-06-11 23:07:02.051,2025-06-11 23:07:02.052,0.001,2025-06-11 23:07:02
PDB_PERF_TUNE,21,2025-06-11 23:07:03.192,2025-06-11 23:07:03.193,0.001,2025-06-11 23:07:03
PDB_PERF_TUNE,22,2025-06-11 23:07:04.340,2025-06-11 23:07:04.341,0.001,2025-06-11 23:07:04
PDB_ANOMALY_DET,1,2025-06-11 23:07:05.503,2025-06-11 23:07:05.504,0.001,2025-06-11 23:07:05
PDB_ANOMALY_DET,2,2025-06-11 23:07:06.645,2025-06-11 23:07:06.645,0.0,2025-06-11 23:07:06
PDB_ANOMALY_DET,3,2025-06-11 23:07:07.782,2025-06-11 23:07:07.783,0.001,2025-06-11 23:07:07
PDB_ANOMALY_DET,4,2025-06-11 23:07:08.913,2025-06-11 23:07:08.914,0.001,2025-06-11 23:07:08
PDB_ANOMALY_DET,5,2025-06-11 23:07:10.063,2025-06-11 23:07:10.064,0.001,2025-06-11 23:07:10
PDB_ANOMALY_DET,6,2025-06-11 23:07:11.214,2025-06-11 23:07:11.215,0.001,2025-06-11 23:07:11
PDB_ANOMALY_DET,7,2025-06-11 23:07:12.350,2025-06-11 23:07:12.351,0.001,2025-06-11 23:07:12
PDB_ANOMALY_DET,8,2025-06-11 23:07:13.490,2025-06-11 23:07:13.491,0.001,2025-06-11 23:07:13
PDB_ANOMALY_DET,9,2025-06-11 23:07:14.626,2025-06-11 23:07:14.626,0.0,2025-06-11 23:07:14
PDB_ANOMALY_DET,10,2025-06-11 23:07:15.778,2025-06-11 23:07:15.779,0.001,2025-06-11 23:07:15
PDB_ANOMALY_DET,11,2025-06-11 23:07:16.934,2025-06-11 23:07:16.935,0.001,2025-06-11 23:07:16
PDB_ANOMALY_DET,12,2025-06-11 23:07:18.074,2025-06-11 23:07:18.074,0.0,2025-06-11 23:07:18
PDB_ANOMALY_DET,13,2025-06-11 23:07:19.228,2025-06-11 23:07:19.228,0.0,2025-06-11 23:07:19
